[Wed Jun  6 09:55:25.958 2018] 0.018 sec 0.018 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 09:55:30.173 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 09:55:32.760 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 09:55:34.940 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 10:17:00.756 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Wed Jun  6 10:17:02.062 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Wed Jun  6 10:17:09.992 2018] 0.002 sec 0.002 sec [ext2/3/ext 3 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 10:17:15.970 2018] 0.000 sec 0.000 sec [ext2/4/ext 2 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 12:46:25.390 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Wed Jun  6 12:52:18.266 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Wed Jun  6 12:52:34.673 2018] 0.001 sec 0.001 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 12:52:47.112 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 12:52:50.217 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 12:53:10.245 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 12:59:59.715 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Wed Jun  6 13:00:24.424 2018] 0.000 sec 0.000 sec [ext2/3/ext 4 (0,24)] [listing_core`, `listing_delta]
[Thu Jun  7 12:30:20.131 2018] 0.000 sec 0.002 sec [ext2/1/ext 0 (0,20)] [listing_core]
